iter	Passed	Remaining
0	144	144731
1	145	72680
2	146	48576
3	146	36522
4	147	29289
5	147	24463
6	148	21016
7	148	18431
8	149	16418
9	149	14808
10	150	13492
11	150	12401
12	151	11472
13	151	10676
14	152	9986
15	152	9382
16	153	8848
17	153	8375
18	153	7950
19	154	7568
20	154	7224
21	155	6910
22	155	6624
23	156	6361
24	156	6119
25	157	5895
26	157	5688
27	158	5496
28	158	5316
29	159	5149
30	159	4993
31	160	4848
32	160	4710
33	161	4580
34	161	4458
35	162	4343
36	162	4233
37	163	4130
38	163	4032
39	164	3939
40	164	3849
41	165	3765
42	165	3685
43	166	3608
44	166	3535
45	167	3464
46	167	3397
47	168	3332
48	168	3270
49	169	3215
50	169	3159
51	170	3104
52	170	3051
53	171	3000
54	171	2951
55	172	2903
56	172	2857
57	173	2812
58	173	2769
59	174	2728
60	174	2688
61	175	2649
62	175	2611
63	176	2575
64	176	2540
65	177	2505
66	177	2472
67	178	2439
68	178	2408
69	178	2377
70	179	2348
71	179	2319
72	180	2291
73	180	2264
74	181	2237
75	181	2211
76	182	2186
77	182	2161
78	183	2137
79	183	2114
80	184	2091
81	184	2068
82	185	2044
83	185	2023
84	186	2002
85	186	1981
86	187	1962
87	187	1942
88	187	1923
89	188	1905
90	188	1887
91	189	1869
92	189	1851
93	190	1834
94	190	1817
95	191	1801
96	191	1785
97	192	1769
98	192	1753
99	193	1738
100	193	1723
101	194	1708
102	194	1694
103	195	1680
104	195	1667
105	196	1653
106	196	1640
107	197	1627
108	197	1615
109	198	1603
110	198	1590
111	199	1578
112	199	1566
113	200	1554
114	200	1543
115	201	1531
116	201	1519
117	201	1508
118	202	1497
119	202	1487
120	203	1476
121	203	1465
122	204	1455
123	204	1445
124	205	1435
125	205	1425
126	205	1415
127	206	1406
128	206	1396
129	207	1387
130	207	1378
131	208	1369
132	208	1360
133	209	1352
134	209	1343
135	210	1335
136	210	1327
137	211	1319
138	211	1312
139	212	1305
140	213	1298
141	213	1289
142	214	1283
143	214	1275
144	215	1268
145	215	1261
146	216	1253
147	216	1246
148	217	1239
149	217	1232
150	218	1225
151	218	1218
152	218	1212
153	219	1205
154	219	1198
155	220	1192
156	220	1186
157	221	1180
158	221	1173
159	222	1167
160	222	1160
161	223	1154
162	223	1148
163	224	1142
164	224	1136
165	225	1130
166	226	1127
167	226	1122
168	227	1117
169	227	1113
170	228	1108
171	229	1103
172	229	1098
173	230	1093
174	230	1088
175	231	1083
176	232	1079
177	232	1074
178	233	1070
179	233	1065
180	234	1061
181	235	1056
182	235	1052
183	236	1047
184	236	1043
185	237	1038
186	237	1034
187	238	1030
188	239	1026
189	239	1021
190	240	1017
191	240	1013
192	241	1009
193	242	1006
194	242	1002
195	243	998
196	243	993
197	244	989
198	245	986
199	245	982
200	246	978
201	246	974
202	247	970
203	247	966
204	248	963
205	248	959
206	249	955
207	250	952
208	250	948
209	251	945
210	251	941
211	252	937
212	252	934
213	253	931
214	254	927
215	254	924
216	255	921
217	256	918
218	256	915
219	257	911
220	257	908
221	258	905
222	258	901
223	259	898
224	260	895
225	260	892
226	261	889
227	261	886
228	262	882
229	262	879
230	263	876
231	263	873
232	264	870
233	265	867
234	265	864
235	266	861
236	266	858
237	267	855
238	267	852
239	268	849
240	268	846
241	269	843
242	269	841
243	270	838
244	271	836
245	271	833
246	272	830
247	273	827
248	273	825
249	274	822
250	274	820
251	275	817
252	275	814
253	276	812
254	277	809
255	277	806
256	278	803
257	278	800
258	278	798
259	279	795
260	279	792
261	280	789
262	280	787
263	281	784
264	281	781
265	282	779
266	282	776
267	283	773
268	283	771
269	284	768
270	284	766
271	285	763
272	285	761
273	286	758
274	286	756
275	287	753
276	287	751
277	288	748
278	288	746
279	289	743
280	289	741
281	290	738
282	290	736
283	291	733
284	291	731
285	292	729
286	292	726
287	292	724
288	293	721
289	293	719
290	294	717
291	294	715
292	295	712
293	295	710
294	296	708
295	296	706
296	297	703
297	297	701
298	298	699
299	298	697
300	299	695
301	299	693
302	300	690
303	300	688
304	301	686
305	301	684
306	302	682
307	302	680
308	303	678
309	303	676
310	304	674
311	304	671
312	305	669
313	305	667
314	306	665
315	306	663
316	307	661
317	307	659
318	308	657
319	308	655
320	309	653
321	309	651
322	310	649
323	310	647
324	310	645
325	311	643
326	311	641
327	312	640
328	312	638
329	313	636
330	313	634
331	314	632
332	314	630
333	315	628
334	315	626
335	316	625
336	316	623
337	317	621
338	317	619
339	318	617
340	318	615
341	319	613
342	319	612
343	320	610
344	320	608
345	321	606
346	321	604
347	321	603
348	322	601
349	322	599
350	323	597
351	323	596
352	324	594
353	324	592
354	325	590
355	325	589
356	326	587
357	326	585
358	327	584
359	327	582
360	328	580
361	328	579
362	329	577
363	329	575
364	330	574
365	330	572
366	331	570
367	331	569
368	332	567
369	332	566
370	333	564
371	333	562
372	333	561
373	334	559
374	334	558
375	335	556
376	335	554
377	336	553
378	336	551
379	337	550
380	337	548
381	338	547
382	338	545
383	339	544
384	339	542
385	340	540
386	340	539
387	341	537
388	341	536
389	341	534
390	342	533
391	342	531
392	343	530
393	343	528
394	344	527
395	344	525
396	345	524
397	345	522
398	346	521
399	346	520
400	347	518
401	347	517
402	348	515
403	348	514
404	349	513
405	349	511
406	350	510
407	350	508
408	351	507
409	351	505
410	352	504
411	352	503
412	352	501
413	353	500
414	353	498
415	354	497
416	354	496
417	355	494
418	355	493
419	356	491
420	356	490
421	357	489
422	357	487
423	358	486
424	358	485
425	359	483
426	359	482
427	360	481
428	360	479
429	360	478
430	361	477
431	361	475
432	362	474
433	362	473
434	363	471
435	363	470
436	364	469
437	364	468
438	365	466
439	365	465
