iter	Passed	Remaining
0	148	148486
1	149	74641
2	150	50074
3	151	37675
4	152	30264
5	152	25276
6	153	21713
7	153	19062
8	154	16981
9	154	15314
10	155	13952
11	155	12816
12	156	11853
13	156	11031
14	157	10317
15	157	9691
16	158	9139
17	158	8648
18	158	8208
19	159	7813
20	159	7455
21	160	7131
22	160	6834
23	161	6561
24	161	6311
25	162	6079
26	162	5864
27	163	5677
28	164	5509
29	165	5344
30	165	5185
31	166	5038
32	167	4895
33	167	4760
34	168	4632
35	168	4512
36	168	4398
37	169	4289
38	169	4186
39	170	4088
40	170	3995
41	171	3907
42	171	3823
43	172	3742
44	172	3665
45	173	3591
46	173	3520
47	174	3453
48	174	3389
49	175	3327
50	175	3267
51	176	3210
52	176	3154
53	177	3101
54	177	3052
55	179	3023
56	180	2978
57	180	2933
58	181	2890
59	181	2848
60	182	2808
61	183	2771
62	184	2742
63	185	2719
64	186	2685
65	187	2650
66	187	2616
67	188	2583
68	189	2553
69	190	2527
70	190	2496
71	191	2465
72	191	2434
73	192	2406
74	193	2383
75	194	2359
76	194	2333
77	195	2308
78	195	2283
79	196	2258
80	197	2235
81	197	2211
82	197	2185
83	198	2162
84	198	2139
85	199	2117
86	199	2095
87	200	2074
88	200	2053
89	201	2033
90	201	2013
91	202	1993
92	202	1974
93	202	1956
94	203	1937
95	203	1919
96	204	1902
97	204	1885
98	205	1867
99	205	1851
100	206	1835
101	206	1819
102	207	1803
103	207	1791
104	208	1778
105	209	1763
106	209	1748
107	210	1734
108	210	1720
109	210	1707
110	211	1693
111	211	1680
112	212	1666
113	212	1653
114	213	1641
115	213	1628
116	214	1615
117	214	1603
118	214	1591
119	215	1579
120	215	1568
121	216	1556
122	216	1545
123	217	1534
124	217	1523
125	218	1513
126	218	1501
127	218	1491
128	219	1481
129	219	1471
130	220	1461
131	220	1451
132	221	1442
133	221	1432
134	222	1423
135	223	1417
136	223	1409
137	224	1400
138	224	1391
139	225	1383
140	225	1374
141	225	1365
142	226	1356
143	226	1348
144	227	1340
145	227	1332
146	228	1324
147	228	1316
148	229	1309
149	229	1301
150	230	1293
151	230	1286
152	231	1279
153	231	1271
154	231	1264
155	232	1257
156	232	1250
157	233	1243
158	233	1236
159	234	1229
160	234	1222
161	235	1215
162	235	1209
163	235	1202
164	236	1196
165	236	1190
166	237	1184
167	238	1179
168	239	1177
169	240	1172
170	240	1167
171	241	1162
172	242	1157
173	242	1152
174	243	1146
175	243	1141
176	244	1136
177	244	1130
178	245	1125
179	245	1119
180	246	1114
181	246	1109
182	247	1103
183	247	1098
184	248	1093
185	248	1087
186	249	1082
187	249	1077
188	249	1072
189	250	1067
190	250	1062
191	251	1057
192	251	1052
193	253	1051
194	253	1047
195	254	1042
196	254	1038
197	255	1033
198	255	1028
199	256	1024
200	256	1019
201	256	1015
202	257	1010
203	257	1006
204	258	1002
205	258	997
206	259	993
207	259	989
208	260	984
209	260	980
210	261	976
211	261	972
212	262	968
213	262	964
214	263	960
215	263	956
216	263	952
217	264	948
218	264	944
219	265	940
220	265	936
221	266	932
222	266	929
223	267	927
224	268	924
225	269	921
226	269	918
227	270	916
228	271	913
229	271	910
230	272	906
231	272	903
232	273	899
233	273	896
234	274	892
235	274	889
236	275	885
237	275	882
238	276	879
239	276	875
240	276	872
241	277	868
242	277	865
243	278	862
244	278	859
245	279	855
246	279	852
247	280	849
248	280	846
249	281	843
250	281	840
251	281	836
252	283	835
253	283	833
254	284	830
255	284	827
256	285	824
257	285	821
258	285	818
259	286	815
260	286	812
261	287	809
262	287	806
263	288	803
264	288	800
265	289	798
266	289	795
267	290	792
268	290	789
269	291	786
270	291	784
271	291	781
272	292	778
273	292	776
274	293	773
275	293	770
276	294	768
277	294	765
278	295	762
279	295	760
280	296	757
281	296	755
282	298	756
283	298	753
284	299	751
285	299	748
286	300	746
287	300	743
288	301	741
289	301	738
290	302	736
291	302	734
292	303	731
293	303	729
294	304	726
295	304	724
296	305	722
297	305	719
298	306	717
299	306	715
300	306	712
301	307	710
302	307	708
303	308	705
304	308	703
305	309	701
306	309	699
307	310	696
308	310	694
309	311	692
310	311	690
311	312	689
312	313	687
313	313	685
314	314	683
315	314	681
316	315	679
317	315	676
318	316	674
319	316	672
320	317	670
321	317	668
322	317	666
323	318	664
324	318	662
325	319	660
326	319	658
327	320	656
328	320	654
329	321	652
330	321	650
331	322	648
332	322	646
333	323	644
334	323	642
335	324	640
336	325	639
337	325	637
338	325	635
339	326	633
340	326	631
341	327	630
342	328	629
343	329	628
344	329	626
345	330	624
346	330	622
347	331	620
348	331	618
349	332	616
350	332	614
351	333	613
352	333	611
353	333	609
354	334	607
355	334	605
356	335	603
357	335	602
358	336	600
359	336	598
360	337	596
361	337	595
362	338	593
363	338	591
364	339	589
365	339	588
366	340	586
367	340	584
368	341	583
369	341	581
370	341	579
371	342	578
372	343	577
373	343	575
374	344	574
375	344	572
376	345	570
377	345	569
378	346	567
379	346	565
380	347	564
381	347	562
382	348	560
383	348	559
384	349	557
385	349	556
386	349	554
387	350	553
388	351	551
389	351	550
390	352	548
391	352	547
392	353	545
393	353	544
394	354	542
395	354	540
396	355	539
397	355	537
398	356	536
399	356	534
400	356	533
401	358	532
402	359	531
403	359	530
404	360	529
405	360	528
406	361	526
407	361	525
408	362	523
409	362	522
410	363	520
411	363	519
412	364	517
413	364	516
414	365	514
415	365	513
416	366	511
417	366	510
418	366	508
419	367	507
420	367	505
421	368	504
422	368	503
423	369	501
424	369	500
425	370	498
426	370	497
427	371	495
428	371	494
429	372	493
430	372	492
431	373	491
432	374	489
433	375	489
434	375	487
435	376	486
436	377	486
437	378	485
438	379	484
439	379	483
440	380	482
441	381	481
442	382	480
443	382	479
444	383	478
445	384	477
446	384	475
447	385	474
448	385	473
449	386	472
450	387	471
451	388	470
452	388	469
453	389	468
454	389	467
455	390	465
456	390	464
457	391	463
458	391	461
459	392	460
460	392	459
461	393	457
462	393	456
463	394	455
464	394	453
465	395	452
466	395	451
467	395	450
468	396	448
469	396	447
470	397	446
471	397	444
472	398	443
473	398	442
474	399	441
475	399	439
476	400	438
477	400	437
478	400	436
479	401	434
480	401	433
481	402	433
482	403	431
483	404	430
484	404	429
485	405	428
486	405	427
487	406	426
488	406	424
489	407	423
490	407	422
491	407	421
492	408	420
493	408	418
494	409	417
495	409	416
496	410	415
497	410	414
498	411	412
499	411	411
500	412	410
501	412	409
502	413	408
503	413	406
504	413	405
505	414	404
506	414	403
507	415	402
508	415	401
509	416	399
510	416	398
511	417	398
512	418	397
513	419	396
514	419	395
515	420	394
516	420	392
517	420	391
518	421	390
519	421	389
520	422	388
521	422	387
522	423	386
523	423	384
524	424	383
525	424	382
526	425	381
527	425	380
528	426	379
529	426	378
530	426	377
531	427	375
532	427	374
533	428	373
534	428	372
535	429	371
536	429	370
537	430	369
538	430	368
539	431	367
540	431	366
541	432	365
542	433	364
543	433	363
544	434	362
545	434	361
546	435	360
547	435	359
548	436	358
549	436	357
550	437	356
551	437	355
552	438	354
553	438	353
554	439	352
555	439	350
556	439	349
557	440	348
558	440	347
559	441	346
560	441	345
561	442	344
562	442	343
563	443	342
564	443	341
565	444	340
566	444	339
567	444	338
568	445	337
569	445	336
570	446	335
571	446	334
572	447	333
573	448	332
574	449	332
575	449	331
576	450	330
577	451	329
578	451	328
579	451	327
580	452	326
581	452	325
582	453	324
583	453	323
584	454	322
585	454	321
586	455	320
587	455	319
588	456	318
589	456	317
590	456	316
591	457	315
592	457	314
593	458	313
594	459	312
595	459	311
596	459	310
597	460	309
598	460	308
599	461	307
600	461	306
601	462	305
602	463	304
603	463	304
604	464	303
605	464	302
606	465	301
607	465	300
608	466	299
609	466	298
610	467	297
611	467	296
612	467	295
613	468	294
614	468	293
615	469	292
616	469	291
617	470	290
618	470	289
619	471	288
620	471	287
621	472	286
622	472	286
623	473	285
624	473	284
625	474	283
626	474	282
627	474	281
628	475	280
629	475	279
630	476	278
631	476	277
632	477	276
633	478	276
634	478	275
635	479	274
636	479	273
637	480	272
638	480	271
639	481	270
640	481	269
641	482	268
642	482	267
643	483	267
644	483	266
645	484	265
646	484	264
647	485	263
648	485	262
649	486	261
650	486	260
651	487	260
652	487	259
653	488	258
654	488	257
655	488	256
656	489	255
657	489	254
658	490	253
659	490	252
660	491	252
661	491	251
662	492	250
663	493	249
664	494	249
665	494	248
666	495	247
667	496	246
668	497	245
669	497	245
670	498	244
671	499	243
672	500	243
673	501	242
674	501	241
675	502	240
676	502	239
677	503	239
678	503	238
679	504	237
680	505	236
681	506	235
682	506	235
683	507	234
684	507	233
685	508	232
686	509	232
687	509	231
688	510	230
689	511	229
690	512	229
691	512	228
692	513	227
693	513	226
694	514	225
695	515	225
696	516	224
697	516	223
698	517	222
699	517	221
700	517	220
701	518	220
702	518	219
703	519	218
704	519	217
705	520	216
706	520	215
707	521	214
708	521	214
709	522	213
710	523	212
711	524	212
712	525	211
713	525	210
714	526	209
715	526	208
716	527	208
717	527	207
718	528	206
719	529	205
720	529	204
721	530	204
722	530	203
723	531	202
724	531	201
725	532	200
726	532	200
727	533	199
728	533	198
729	534	197
730	534	196
731	535	196
732	535	195
733	536	194
734	536	193
735	537	192
736	540	192
737	540	191
738	541	191
739	541	190
740	542	189
741	542	188
742	543	187
743	543	187
744	544	186
745	545	185
746	545	184
747	546	183
748	546	183
749	547	182
750	547	181
751	548	180
752	548	180
753	549	179
754	549	178
755	550	177
756	550	176
757	551	176
758	551	175
759	552	174
760	553	173
761	554	173
762	555	172
763	555	171
764	556	170
765	557	170
766	558	169
767	558	168
768	559	168
769	559	167
770	560	166
771	560	165
772	561	164
773	562	164
774	562	163
775	563	162
776	563	161
777	564	160
778	564	160
779	565	159
780	566	158
781	566	157
782	567	157
783	567	156
784	568	155
785	569	155
786	570	154
787	570	153
788	571	152
789	571	151
790	572	151
791	572	150
792	573	149
793	573	148
794	574	148
795	574	147
796	575	146
797	575	145
798	576	144
799	576	144
800	576	143
801	577	142
802	577	141
803	578	140
804	578	140
805	579	139
806	579	138
807	580	137
808	580	137
809	581	136
810	581	135
811	581	134
812	582	133
813	583	133
814	584	132
815	584	131
816	585	131
817	585	130
818	586	129
819	586	128
820	587	127
821	587	127
822	587	126
823	588	125
824	588	124
825	589	124
826	589	123
827	590	122
828	590	121
829	591	121
830	592	120
831	592	119
832	593	118
833	593	118
834	594	117
835	594	116
836	594	115
837	595	115
838	595	114
839	596	113
840	596	112
841	597	112
842	598	111
843	599	110
844	599	110
845	600	109
846	600	108
847	601	107
848	601	107
849	602	106
850	602	105
851	603	104
852	603	104
853	604	103
854	604	102
855	604	101
856	605	101
857	605	100
858	606	99
859	606	98
860	607	98
861	607	97
862	608	96
863	608	95
864	609	95
865	609	94
866	609	93
867	610	92
868	610	92
869	611	91
870	611	90
871	612	89
872	612	89
873	613	88
874	614	87
875	614	87
876	615	86
877	615	85
878	616	84
879	616	84
880	617	83
881	617	82
882	618	81
883	618	81
884	619	80
885	619	79
886	620	79
887	620	78
888	621	77
889	621	76
890	622	76
891	622	75
892	623	74
893	623	73
894	624	73
895	624	72
896	624	71
897	625	71
898	625	70
899	626	69
900	626	68
901	627	68
902	627	67
903	628	66
904	629	66
905	629	65
906	630	64
907	630	63
908	631	63
909	631	62
910	632	61
911	632	61
912	633	60
913	633	59
914	634	58
915	634	58
916	635	57
917	635	56
918	635	56
919	636	55
920	636	54
921	637	53
922	637	53
923	638	52
924	638	51
925	639	51
926	639	50
927	640	49
928	640	48
929	640	48
930	641	47
931	642	46
932	644	46
933	645	45
934	646	44
935	646	44
936	647	43
937	647	42
938	648	42
939	648	41
940	649	40
941	649	40
942	650	39
943	650	38
944	651	37
945	651	37
946	652	36
947	652	35
948	653	35
949	653	34
950	653	33
951	654	32
952	654	32
953	655	31
954	655	30
955	656	30
956	656	29
957	657	28
958	657	28
959	658	27
960	659	26
961	660	26
962	661	25
963	661	24
964	662	24
965	662	23
966	663	22
967	663	21
968	664	21
969	664	20
970	665	19
971	665	19
972	665	18
973	666	17
974	666	17
975	667	16
976	667	15
977	668	15
978	668	14
979	669	13
980	669	12
981	670	12
982	670	11
983	671	10
984	671	10
985	672	9
986	672	8
987	673	8
988	674	7
989	675	6
990	675	6
991	676	5
992	676	4
993	676	4
994	677	3
995	677	2
996	678	2
997	678	1
998	679	0
999	679	0
